Configuration,Processes,N_Value,Run1,Run2,Run3,Run4,Run5,Median,Primes_Per_Second,Speed_Up
Non-parallel,1,4,1.010951936,0.93631317,0.598891194,0.59173145,1.127399569,0.93631317,4.272,1
Parallel_4_proc,4,18,0.929759773,1.066448848,1.29105436,0.928523512,0.929615669,0.929615669,19.364,4.534
Parallel_16_proc,16,48,1.228194118,0.893906001,1.089954106,0.880925032,0.880491354,0.893906001,53.699,12.572
Parallel_32_proc,32,40,0.811876568,0.90504187,0.911346981,0.892690169,1.123916501,0.90504187,44.199,10.349
Parallel_64_proc,64,5,0.778705963,1.110071623,0.942384648,1.025461248,0.765391669,0.942384648,5.305,1.242
Parallel_128_proc,128,5,0.80909066,0.833694351,0.724388188,0.751066255,1.145443598,0.80909066,6.18,1.447
,,,,,,,,0.93631317,4.272,1.000
,,,,,,,,0.929759773,19.360,4.532
,,,,,,,,0.893906001,53.697,12.569
,,,,,,,,0.90504187,44.197,10.346
,,,,,,,,0.942384648,5.306,1.242
,,,,,,,,0.80909066,6.180,1.447
